Red_ESRD,Medida,Puntaje_de_Medida,Año,Measure_id
1,"N: Prevalent Patients - Vintage: % on ESRD Therapy for 2-3 years, 12/31/2022",13.7,2022,vin3y4_n
1,"N: Prevalent Patients - Vintage: % on ESRD Therapy for 3-6 years, 12/31/2022",26.38,2022,vin4y4_n
1,"N: Prevalent Patients - Vintage: % on ESRD Therapy for over 6 years, 12/31/2022",23.85,2022,vin5y4_n
1,"N: Prevalent Patients - Race: % Asian/Pacific Islander, 12/31/2022",4.37,2022,rac1y4_n
1,"N: Prevalent Patients - Race: % African American, 12/31/2022",23.25,2022,rac2y4_n
1,"N: Prevalent Patients - Race: % Native American, 12/31/2022",0.39,2022,rac3y4_n
1,"N: Prevalent Patients - Race: % White, 12/31/2022",71.86,2022,rac4y4_n
1,"N: Prevalent Patients - Race: % Other/Unknown/Missing Race, 12/31/2022",0.14,2022,rac5y4_n
1,"N: Prevalent Patients - Ethnicity: % Hispanic, 12/31/2022",14.54,2022,eth1y4_n
1,"N: Prevalent Patients - Ethnicity: % Non-Hispanic, 12/31/2022",85.36,2022,eth2y4_n
1,"N: Prevalent Patients - Ethnicity: % Unknown Ethnicity, 12/31/2022",0.1,2022,eth3y4_n
1,"N: Prevalent Patients - Sex: % Female, 12/31/2022",40.68,2022,sexy4_n
1,"N: Prevalent Patients - Nursing Home: % of Nursing Home Facility Patients During Year, 12/31/2022",15.32,2022,nrshomey4_n
1,"N: Prevalent Patients - Vintage: Average Years of Prior ESRD Therapy, 12/31/2022",4.85,2022,viny4_n
1,"N: Prevalent Patients - Modality: % on Hemodialysis, 12/31/2022",84.1,2022,modhdy4_n
1,"N: Prevalent Patients - Modality: % on Home Hemodialysis, 12/31/2022",3.62,2022,modhhdy4_n
1,"N: Prevalent Patients - Modality: % on Continuous Ambulatory Peritoneal Dialysis, 12/31/2022",1.63,2022,modcapdy4_n
1,"N: Prevalent Patients - Modality: % on Continuous Cycling Peritoneal Dialysis, 12/31/2022",10.44,2022,modccpdy4_n
1,"N: Prevalent Patients - Modality: % Other Modality, 12/31/2022",0.2,2022,modothry4_n
1,"N: Prevalent Patients - End of Year Status: Average number of patients alive in facility, 2022",66.07,2022,pahy4m_n
1,"N: Calcium (Adult) - % of patient-months with uncorrected calcium < 8.4 mg/dL, 2022",18.53,2022,CWunCa1y4_n
1,"N: Calcium (Adult) - % of patient-months with uncorrected calcium 8.4-10.2 mg/dL, 2022",77.51,2022,CWunCa2y4_n
1,"N: Calcium (Adult) - % of patient-months with uncorrected calcium > 10.2 mg/dL, 2022",1.13,2022,CWunCa3y4_n
1,"N: Calcium (Adult) - % of patient-months with uncorrected calcium Missing, 2022",2.83,2022,CWunCamissy4_n
1,"N: Calcium (Adult) - % of patient-months with uncorrected calcium Out of Range, 2022",0.0,2022,CWunCaOoRy4_n
1,"N: Calcium (Adult) - Average uncorrected calcium in mg/dL, out of valid in range patient-months, 2022",8.89,2022,CWavgUnCay4_n
1,"N: Phosphorus (Adult) - Average serum phosphorus in mg/dL, out of valid in range patient-months, 2022",5.43,2022,CWavgPy4_n
1,"N: Phosphorus (Adult) - % of patient-months with serum phosphorus < 3.5 mg/dL, 2022",7.02,2022,CWP1y4_n
1,"N: Phosphorus (Adult) - % of patient-months with serum phosphorus 3.5-4.5 mg/dL, 2022",23.44,2022,CWP2y4_n
1,"N: Phosphorus (Adult) - % of patient-months with serum phosphorus 4.6-5.5 mg/dL, 2022",29.27,2022,CWP3y4_n
1,"N: Phosphorus (Adult) - % of patient-months with serum phosphorus 5.6-7.0 mg/dL, 2022",22.63,2022,CWP4y4_n
1,"N: Phosphorus (Adult) - % of patient-months with serum phosphorus > 7.0 mg/dL, 2022",14.44,2022,CWP5y4_n
1,"N: Phosphorus (Adult) - % of patient-months with serum phosphorus Missing, 2022",3.2,2022,CWPmissy4_n
1,"N: Phosphorus (Adult) - % of patient-months with serum phosphorus Out of Range, 2022",0.0,2022,CWPOoRy4_n
1,"N: Hypercalcemia (Adult) - Average uncorrected calcium > 10.2 mg/dL, out of valid in range patient-months, 2022",1.92,2022,CWunCagt102y4_n
1,"N: Calcium (Adult) - Average Number of Eligible Dialysis Patients, 2022",88.83,2022,CWptdenomy4m_n
1,"N: Calcium (Adult) - Average Number of Eligible Dialysis Patient-months, 2022",777.1,2022,CWptmthdenomy4m_n
1,"N: Phosphorus (Adult) - Average Number of Eligible Dialysis Patients, 2022",95.07,2022,serumphospatsy4m_n
1,"N: Phosphorus (Adult) - Average Number of Eligible Dialysis Patient-months, 2022",825.48,2022,serumphospmy4m_n
1,"N: Hypercalcemia (Adult) - Average Number of Eligible Dialysis Patients, 2022",88.83,2022,CWhcptdenomy4m_n
1,"N: Hypercalcemia (Adult) - Average Number of Eligible Dialysis Patient-months, 2022",777.06,2022,CWhcptmthdenomy4m_n
1,"N: Prevalent VA Type (Adult) - % of patients receiving treatment with fistulae, 2022",61.23,2022,ppavfy4_n
1,"N: Prevalent VA Type (Adult) - % of patients receiving treatment with grafts, 2022",14.12,2022,ppavgy4_n
1,"N: Prevalent VA Type (Adult) - % of patients receiving treatment with catheters, 2022",22.71,2022,ppcathy4_n
1,"N: Prevalent VA Type (Adult) - % of patients receiving treatment with other or unknown access type., 2022",1.94,2022,ppomy4_n
1,"N: Prevalent VA Type (Adult) - Long-Term Catheter Rate, 2022",17.52,2022,ltcy4_n
1,"N: Incident VA Type (Adult) - % of patients receiving treatment with fistulae, 2022",15.3,2022,piavfy4_n
1,"N: Incident VA Type (Adult) - % of patients receiving treatment with grafts, 2022",3.39,2022,piavgy4_n
1,"N: Incident VA Type (Adult) - % of patients receiving treatment with catheters, 2022",77.83,2022,picathy4_n
1,"N: Incident VA Type (Adult) - % of patients receiving treatment with other or unknown access type., 2022",3.49,2022,piomy4_n
1,"N: Incident VA Type (Adult) - % of patients with fistulae placed, 2022",16.3,2022,pifisty4_n
1,"N: Prevalent VA Type (Adult) - Average number of HD patients, 2022",83.47,2022,phdvapty4m_n
1,"N: Prevalent VA Type (Adult) - Average number of HD patient-months, 2022",716.53,2022,phdy4m_n
1,"N: Incident VA Type (Adult) - Average number of HD patients, 2022",16.5,2022,ihdy4m_n
1,"N: Prevalent VA Type (Adult) - Standardized Fistula Rate (SFR), 2022",61.72,2022,sfry4_n
1,"N: VA infection - Average number of eligible PD patients, 2022",9.77,2022,pdpaty4m_n
1,"N: VA infection - Average number of eligible PD patient-months, 2022",68.74,2022,pdptmoy4m_n
1,"N: VA infection - PD catheter infection rate per 100 PD patient-months, 2022",2.6,2022,pd2inf100moy4_n
1,"N: Prevalent Comorbidities - Average Number of Medicare Dialysis Patients Alive on December 31, 2022",52.27,2022,ncmy4m_n
1,"N: Prevalent Comorbidities - Average % with Anemia, 2022",3.7,2022,clmanemy4_n
1,"N: Prevalent Comorbidities - Average % with AIDS, 2022",0.82,2022,clmhivaidmy4_n
1,"N: Prevalent Comorbidities - Average % with Alcohol Dependence, 2022",2.15,2022,clmalcomy4_n
1,"N: Prevalent Comorbidities - Average % with Cancer, 2022",4.53,2022,clmcanmy4_n
1,"N: Prevalent Comorbidities - Average % with Cardiac Arrest, 2022",0.84,2022,clmcamy4_n
1,"N: Prevalent Comorbidities - Average % with Cardiac Dysrythmias, 2022",24.0,2022,clmcdmy4_n
1,"N: Prevalent Comorbidities - Average % with Cerebrovascular Disease, 2022",7.66,2022,clmcvdmy4_n
1,"N: Prevalent Comorbidities - Average % with Chronic Observedtructive Pulmonary Disease, 2022",18.05,2022,clmcopdmy4_n
1,"N: Prevalent Comorbidities - Average % with Congestive Heart Failure, 2022",35.05,2022,clmchfmy4_n
1,"N: Prevalent Comorbidities - Average % with Diabetes, 2022",37.67,2022,clmdiabmy4_n
1,"N: Prevalent Comorbidities - Average % with Drug Dependence, 2022",1.68,2022,clmdrugmy4_n
1,"N: Prevalent Comorbidities - Average % with Gastro-Intestinal Tract Bleeding, 2022",3.55,2022,clmgtbmy4_n
1,"N: Prevalent Comorbidities - Average % with Hepatitis B, 2022",0.5,2022,clmhepbmy4_n
1,"N: Prevalent Comorbidities - Average % with Hepatitis Other, 2022",1.67,2022,clmhepothmy4_n
1,"N: Prevalent Comorbidities - Average % with Hyperparathyearoidism, 2022",20.9,2022,clmhypthymy4_n
1,"N: Prevalent Comorbidities - Average % with Non-Vascular Access-Related Infection, 2022",19.37,2022,clminfmy4_n
1,"N: Prevalent Comorbidities - Average % with Ischemic Heart Disease, 2022",30.74,2022,clmihdmy4_n
1,"N: Prevalent Comorbidities - Average % with Myocardial Infarction, 2022",9.87,2022,clmmimy4_n
1,"N: Prevalent Comorbidities - Average % with Peripheral Vascular Disease, 2022",18.54,2022,clmpvdmy4_n
1,"N: Prevalent Comorbidities - Average % with Pneumonia, 2022",4.42,2022,clmpnemy4_n
1,"N: Prevalent Comorbidities - Average Number of Comorbid Conditions, 2022",2.52,2022,clmcntcomy4_n
1,"N: Prevalent Comorbidities - Average % with Vascular Access-Related Infection, 2022",4.33,2022,clminfvamy4_n
1,"N: Prevalent Comorbidities - Average % with Metastatic Infection, 2022",1.64,2022,clmmstinfmy4_n
1,"N: Prevalent Comorbidities - Average % with Tuberculosis, 2022",0.4,2022,clmtbmy4_n
1,"N (AFS): Facility Information - Average number of patients, 2022",110.42,2022,allcnty4m_n
1,N (AFS): Facility Information - Average number of all patients on 12/31/2022,72.56,2022,endcnty4m_n
1,"N (AFS): Facility Information - Average % of patients transferred in, 2022",15.22,2022,transiny4_n
1,"N (AFS): Facility Information - Average % of patients transferred out, 2022",15.65,2022,transouty4_n
1,N (AFS): Facility Information - Average % Medicare patients on 12/31/2022,80.64,2022,medicarey4_n
1,N (AFS): Facility Information - Average % Medicare pending on 12/31/2022,9.1,2022,medpendy4_n
1,N (AFS): Facility Information - Average % Non-Medicare on 12/31/2022,10.25,2022,nonmedy4_n
1,N (QIES): Facility Information  Average number of Condition-Level Citations/Survey,0.19,2022,cfc_N
1,N (QIES): Facility Information  Average number of Standard-Level Citations/Survey,5.84,2022,std_N
1,"N: Prevalent Patients (Pediatric) - Age: % under 5 years, 12/31/2022",30.77,2022,p_age1y4_n
1,"N: Prevalent Patients (Pediatric) - Age: % between 5-9 years, 12/31/2022",3.85,2022,p_age2y4_n
1,"N: Prevalent Patients (Pediatric) - Age: % between 10-14 years, 12/31/2022",38.46,2022,p_age3y4_n
1,"N: Prevalent Patients (Pediatric) - Age: % between 15-17 years, 12/31/2022",26.92,2022,p_age4y4_n
1,"N: Prevalent Patients (Pediatric) - Primary Cause of ESRD: % Diabetes, 12/31/2022",0.0,2022,p_dis1y4_n
1,"N: Prevalent Patients (Pediatric) - Primary Cause of ESRD: % Hypertension, 12/31/2022",3.85,2022,p_dis2y4_n
1,"N: Prevalent Patients (Pediatric) - Primary Cause of ESRD: % Glomerulonephritis, 12/31/2022",34.62,2022,p_dis3y4_n
1,"N: Prevalent Patients (Pediatric) - Primary Cause of ESRD: % Cystic Kidney, 12/31/2022",42.31,2022,p_dis4y4_n
1,"N: Prevalent Patients (Pediatric) - Primary Cause of ESRD: % Congenital/Hereditary, 12/31/2022",0.0,2022,p_dis5y4_n
1,"N: Prevalent Patients (Pediatric) - Primary Cause of ESRD: % Hemolytic Uremic Syndrome, 12/31/2022",0.0,2022,p_dis6y4_n
1,"N: Prevalent Patients (Pediatric) - Primary Cause of ESRD: % Other Cause, 12/31/2022",11.54,2022,p_dis7y4_n
1,"N: Prevalent Patients (Pediatric) - Primary Cause of ESRD: % Missing/Unknown Cause, 12/31/2022",7.69,2022,p_dis8y4_n
1,"N: Prevalent Patients (Pediatric) - Vintage: % on ESRD Therapy less than 1 year, 12/31/2022",34.62,2022,p_vin1y4_n
1,"N: Prevalent Patients (Pediatric) - Vintage: % on ESRD Therapy for 1-2 years, 12/31/2022",30.77,2022,p_vin2y4_n
1,"N: Prevalent Patients (Pediatric) - Vintage: % on ESRD Therapy for 2-3 years, 12/31/2022",7.69,2022,p_vin3y4_n
1,"N: Prevalent Patients (Pediatric) - Vintage: % on ESRD Therapy for 3-6 years, 12/31/2022",7.69,2022,p_vin4y4_n
1,"N: Prevalent Patients (Pediatric) - Vintage: % on ESRD Therapy for over 6 years, 12/31/2022",19.23,2022,p_vin5y4_n
1,"N: Prevalent Patients (Pediatric) - Race: % Asian/Pacific Islander, 12/31/2022",7.69,2022,p_rac1y4_n
1,"N: Prevalent Patients (Pediatric) - Race: % African American, 12/31/2022",11.54,2022,p_rac2y4_n
1,"N: Prevalent Patients (Pediatric) - Race: % Native American, 12/31/2022",3.85,2022,p_rac3y4_n
1,"N: Prevalent Patients (Pediatric) - Race: % White, 12/31/2022",76.92,2022,p_rac4y4_n
1,"N: Prevalent Patients (Pediatric) - Race: % Other/Unk/Missing race, 12/31/2022",0.0,2022,p_rac5y4_n
1,"N: Prevalent Patients (Pediatric) - Ethnicity: % Hispanic, 12/31/2022",38.46,2022,p_eth1y4_n
1,"N: Prevalent Patients (Pediatric) - Ethnicity: % Non-Hispanic, 12/31/2022",61.54,2022,p_eth2y4_n
1,"N: Prevalent Patients (Pediatric) - Ethnicity: % Unknown Ethnicity, 12/31/2022",0.0,2022,p_eth3y4_n
1,"N: Prevalent Patients (Pediatric) - Sex: % Female, 12/31/2022",38.46,2022,p_sexy4_n
1,"N: Prevalent Patients (Pediatric) - Modality: % on Hemodialysis, 12/31/2022",57.69,2022,p_modhdy4_n
1,"N: Prevalent Patients (Pediatric) - Modality: % on Home Hemodialysis, 12/31/2022",0.0,2022,p_modhhdy4_n
1,"N: Prevalent Patients (Pediatric) - Modality: % on Continuous Ambulatory Peritoneal Dialysis, 12/31/2022",7.69,2022,p_modcapdy4_n
1,"N: Prevalent Patients (Pediatric) - Modality: % on Continuous Cycling Peritoneal Dialysis, 12/31/2022",34.62,2022,p_modccpdy4_n
1,"N: Prevalent Patients (Pediatric) - Modality: % on Other Modality, 12/31/2022",0.0,2022,p_modothry4_n
1,"N (2728): Incident Patients  (Pediatric) - Percent with Medicare coverage, 2022",28.57,2022,p_allmdcrmy4_n
1,"N (2728): Incident Patients  (Pediatric) - Percent with Medicaid coverage only, 2022",33.33,2022,p_insmdcdmy4_n
1,"N (2728): Incident Patients  (Pediatric) - Percent with employer group coverage only, 2022",4.76,2022,p_insempmy4_n
1,"N (2728): Incident Patients  (Pediatric) - Percent with None, other or unknown coverage only, 2022",33.33,2022,p_insnonothmy4_n
1,"N (2728): Incident Patients  (Pediatric) - No Pre-ESRD Nephrologist Care, 2022",23.81,2022,p_nephnomy4_n
1,"N (2728): Incident Patients  (Pediatric) - Pre-ESRD Nephrologist Care Less Than 6 months, 2022",28.57,2022,p_nephy6my4_n
1,"N (2728): Incident Patients  (Pediatric) - Pre-ESRD Nephrologist Care Between 6 and 12 months, 2022",4.76,2022,p_nephy612my4_n
1,"N (2728): Incident Patients  (Pediatric) - Pre-ESRD Nephrologist Care Greater Than 12 months, 2022",33.33,2022,p_nephy12my4_n
1,"N (2728): Incident Patients  (Pediatric) - Unknown Pre-ESRD Nephrologist Care, 2022",9.52,2022,p_nephunkmissmy4_n
1,"N (2728): Incident Patients  (Pediatric) - Percent of Patients Informed of Transplant Options, 2022",100.0,2022,p_ptinfymy4_n
1,"N (2728): Incident Patients  (Pediatric) - Percent of Incident HD Patients: AV Fistula, 2022",0.0,2022,p_mefavfmy4_n
1,"N (2728): Incident Patients  (Pediatric) - Percent of Incident HD Patients: AV Graft, 2022",0.0,2022,p_mefgraftmy4_n
1,"N (2728): Incident Patients  (Pediatric) - Percent of Incident HD Patients: Catheter, 2022",100.0,2022,p_mefcathmy4_n
1,"N (2728): Incident Patients  (Pediatric) - Percent of Incident HD Patients: Other/Unknown/Missing, 2022",0.0,2022,p_mefoumaccessmy4_n
1,"N (2728): Incident Patients  (Pediatric) - Percent of Incident Patients with Fistulae placed, 2022",6.25,2022,p_avfpresentmy4_n
1,"N: Prevalent VA Type (Pediatric) - % of patients receiving treatment with fistulae, 2022",21.24,2022,p_ppavfy4_n
1,"N: Prevalent VA Type (Pediatric) - Long-Term Catheter Rate, 2022",61.14,2022,p_ltcy4_n
1,"N: Prevalent Waitlist (Pediatric) - % of patient-months (<18 only) on waitlist, 2022",25.63,2022,p_WLy4_n
1,"N: Prevalent Waitlist (Pediatric) - % of patient-months <10 years on waitlist, 2022",13.76,2022,p_WLlt10y4_n
1,"N: Prevalent Waitlist (Pediatric) - % of patient-months aged 10-17 on waitlist, 2022",38.51,2022,p_WL1017y4_n
1,"N: HD HGB (Pediatric) - Average hemoglobin levels (g/dL), of valid in-range patient-months, 2022",10.71,2022,p_CWhdavgHGBy4_n
1,"N: HD HGB (Pediatric) - % of patient-months with hemoglobin < 10 g/dL, 2022",26.97,2022,p_CWhdhgb1y4_n
1,"N: HD HGB (Pediatric) - % of patient-months with hemoglobin 10 - <11 g/dL, 2022",25.84,2022,p_CWhdhgb2y4_n
1,"N: HD HGB (Pediatric) - % of patient-months with hemoglobin 11 - 12 g/dL, 2022",25.84,2022,p_CWhdhgb3y4_n
1,"N: HD HGB (Pediatric) - % of patient-months with hemoglobin > 12 g/dL, 2022",14.04,2022,p_CWhdhgb4y4_n
1,"N: HD HGB (Pediatric) - % of patient-months with hemoglobin Missing or Out of Range, 2022",7.3,2022,p_CWhdhgb5y4_n
1,"N: PD HGB (Pediatric) - Average hemoglobin levels (g/dL), of valid in-range patient-months, 2022",10.72,2022,p_CWpdavgHGBy4_n
1,"N: PD HGB (Pediatric) - % of patient-months with hemoglobin < 10 g/dL, 2022",27.78,2022,p_CWpdhgb1y4_n
1,"N: PD HGB (Pediatric) - % of patient-months with hemoglobin 10 - <11 g/dL, 2022",18.89,2022,p_CWpdhgb2y4_n
1,"N: PD HGB (Pediatric) - % of patient-months with hemoglobin 11 - 12 g/dL, 2022",16.67,2022,p_CWpdhgb3y4_n
1,"N: PD HGB (Pediatric) - % of patient-months with hemoglobin > 12 g/dL, 2022",21.11,2022,p_CWpdhgb4y4_n
1,"N: PD HGB (Pediatric) - % of patient-months with hemoglobin Missing or Out of Range, 2022",15.56,2022,p_CWpdhgb5y4_n
1,"N: Albumin (Pediatric) - Average serum albumin (g/dL), of valid in range HD patient-months, 2022",4.21,2022,p_CWhdalby4_n
1,"N: Albumin (Pediatric) - % of HD patient-months with Serum Albumin < 3 g/dL, 2022",2.81,2022,p_CWhdalb1y4_n
1,"N: Albumin (Pediatric) - % of HD patient-months with Serum Albumin 3 - < 3.5 g/dL, 2022",5.62,2022,p_CWhdalb2y4_n
1,"N: Albumin (Pediatric) - % of HD patient-months with Serum Albumin 3.5 - < 4 g/dL, 2022",18.54,2022,p_CWhdalb3y4_n
1,"N: Albumin (Pediatric) - % of HD patient-months with Serum Albumin >= 4 g/dL, 2022",65.17,2022,p_CWhdalb4y4_n
1,"N: Albumin (Pediatric) - % of HD patient-months with Serum Albumin Missing, 2022",7.87,2022,p_CWhdalb5y4_n
1,"N:  Albumin (Pediatric) - Average Serum Albumin, of valid in range PD patient-months, 2022",4.13,2022,p_CWpdalby4_n
1,"N:  Albumin (Pediatric) - % of PD patient-months with Serum Albumin < 3 g/dL, 2022",0.0,2022,p_CWpdalb1y4_n
1,"N:  Albumin (Pediatric) - % of PD patient-months with Serum Albumin 3 - < 3.5 g/dL, 2022",2.22,2022,p_CWpdalb2y4_n
1,"N:  Albumin (Pediatric) - % of PD patient-months with Serum Albumin 3.5 - < 4 g/dL, 2022",21.11,2022,p_CWpdalb3y4_n
1,"N:  Albumin (Pediatric) - % of PD patient-months with Serum Albumin >= 4 g/dL, 2022",54.44,2022,p_CWpdalb4y4_n
1,"N:  Albumin (Pediatric) - % of PD patient-months with Serum Albumin Missing, 2022",22.22,2022,p_CWpdalb5y4_n
1,"N: PD Kt/V (Pediatric)- % of patient-months with Kt/V >= 1.8, 2022",76.67,2022,p_CWpdktvge18y4_n
1,"N: HD Kt/V (Pediatric)- % of patient-months with Kt/V >= 1.2, 2022",97.59,2022,p_CWhdktvge12y4_n
1,"N: Patient Placement -  % of incident patients, 2022",18.51,2022,ppidy4_n
1,"N: Patient Placement -  % of patients continuing at facility, 2022",72.12,2022,ppcdy4_n
1,"N: Patient Placement -  % of patients that transfered into facility, 2022",9.37,2022,pptdy4_n
1,"N: End of Year Status - % of patients death attributed to this facility, 2022",14.84,2022,pdhdy4_n
1,"N: End of Year Status - % of patients death attributed to another facility, 2022",1.59,2022,pdody4_n
1,"N: End of Year Status - % of patients that received a transplant, 2022",3.65,2022,ptxdy4_n
1,"N: End of Year Status - % of patients alive in this facility, 2022",70.19,2022,pahdy4_n
1,"N: End of Year Status - % of patients alive in another facility, 2022",6.55,2022,paody4_n
1,"N: End of Year Status - % of patients other, 2022",3.19,2022,potdy4_n
1,N (AFS): Facility Information - Average number of in-center HD patients on 12/31/2022,61.39,2022,iuhemy4m_n
1,N (AFS): Facility Information - Average number of in-center frequent HD patients on 12/31/2022,0.02,2022,iufreqy4m_n
1,N (AFS): Facility Information - Average number of in-center non-frequent HD patients on 12/31/2022,61.37,2022,iunonfreqy4m_n
1,N (AFS): Facility Information - Average number of in-center patients with other modality on 12/31/2022,0.01,2022,iuothy4m_n
1,N (AFS): Facility Information - Average number of in-center Continuous Ambulatory Peritoneal Dialysis patients on 12/31/2022,0.01,2022,iucapdy4m_n
1,N (AFS): Facility Information - Average number of in-center Continuous Cycling Peritoneal Dialysis patients on 12/31/2022,0.02,2022,iuccpdy4m_n
1,N (AFS): Facility Information - Average number of home HD patients on 12/31/2022,2.43,2022,ihhemy4m_n
1,N (AFS): Facility Information - Average number of home frequent HD patients on 12/31/2022,0.71,2022,ihfreqy4m_n
1,N (AFS): Facility Information - Average number of home non-frequent HD patients on 12/31/2022,1.73,2022,ihnonfreqy4m_n
1,N (AFS): Facility Information - Average number of home patients with other modality on 12/31/2022,0.0,2022,ihothy4m_n
1,N (AFS): Facility Information - Average number of home Continuous Ambulatory Peritoneal Dialysis patients on 12/31/2022,1.31,2022,ihcapdy4m_n
1,N (AFS): Facility Information - Average number of home Continuous Cycling Peritoneal Dialysis patients on 12/31/2022,7.41,2022,ihccpdy4m_n
1,"N (AFS): Facility Information - Average number of total staff positions on Dec 31 (full & part time), 2022",16.33,2022,staffy4m_n
1,N (AFS): Facility Information - Average number of full time nurses on 12/31/2022,5.53,2022,nurseFTy4m_n
1,N (AFS): Facility Information - Average number of full time patient care technicians on 12/31/2022,5.39,2022,ptcareFTy4m_n
1,N (AFS): Facility Information - Average number of full time renal dieticians on 12/31/2022,1.03,2022,dietFTy4m_n
1,N (AFS): Facility Information - Average number of full time social workers on 12/31/2022,1.08,2022,socwkFTy4m_n
1,N (AFS): Facility Information - Average number of part time nurses on 12/31/2022,1.5,2022,nursePTy4m_n
1,N (AFS): Facility Information - Average number of part time patient care technicians on 12/31/2022,0.98,2022,ptcarePTy4m_n
1,N (AFS): Facility Information - Average number of part time renal dieticians on 12/31/2022,0.43,2022,dietPTy4m_n
1,N (AFS): Facility Information -  Average number of part time social workers on 12/31/2022,0.38,2022,socwkPTy4m_n
1,F (AFS): Facility Information - Vocational Rehab number of Patients 18-54 on 12/31/2022,31.64,2022,vocrehaby4m_n
1,"N (AFS): Facility Information - Average % incident patients, 2022",16.87,2022,incpery4_n
1,N (AFS): Facility Information - % Patients 18-54 who are employed on 12/31/2022,32.04,2022,employedy4_n
1,N (AFS): Facility Information - % Patients 18-54 who are school on 12/31/2022,0.94,2022,schooly4_n
1,"N: Prevalent VA Type (Nursing Home) - % of Patients Receiving Treatment with Fistulae, 2022",52.99,2022,nh_ppavfy4_n
1,"N: Prevalent VA Type (Nursing Home) - Long-Term Catheter Rate, 2022",22.54,2022,nh_ltcy4_n
1,"N: HD Kt/V (Nursing Home)- % of Patient-months with Kt/V < 1.2, 2022",1.94,2022,nh_CWhdktv1y4_n
1,"N: PD Kt/V (Nursing Home) - % of Patient-months with with Kt/V < 1.7, 2022",7.43,2022,nh_CWpdktv1y4_n
1,"N: HD HGB (Nursing Home) - % of Patient-months with Hemoglobin < 10 g/dL, 2022",29.91,2022,nh_CWhdhgb1y4_n
1,"N: HD HGB (Nursing Home) - % of Patient-months with ESA Prescribed, 2022",81.2,2022,nh_CWhdesarxy4_n
1,"N: PD HGB (Nursing Home) - % of Patient-months with Hemoglobin < 10 g/dL, 2022",26.39,2022,nh_CWpdhgb1y4_n
1,"N: PD HGB (Nursing Home) - % of Patient-months with ESA Prescribed, 2022",57.43,2022,nh_CWpdesarxy4_n
1,"N: All Patient Mortality (Nursing Home) - Observed death rate (per 100 patient-years), 2022",43.05,2022,nh_obdry4_n
1,"N: All Patient Mortality (Nursing Home) - Standardized Mortality Ratio (SMR), 2022",1.09,2022,nh_smry4_n
1,"N: All Patient Mortality (Nursing Home) - % of deaths from withdrawal, 2022",43.03,2022,nh_wity4_n
1,"N: SHR (Nursing Home Admissions) - Observed Admission Rate (per patient-year in average facility), 2022",271.31,2022,nh_obhtry4_n
1,"N: SHR (Nursing Home Admissions) - Standardized Hospitalization Ratio for Admissions, 2022",1.39,2022,nh_shrty4_n
1,"N: Hospitalization (Nursing Home) - Diagnosis: % with Septicemia, 2022",24.0,2022,nh_sepiy4_n
1,"N: Hospitalization (Nursing Home) - Diagnosis: % with Acute Myocardial Infarction, 2022",14.0,2022,nh_miiy4_n
1,"N: Hospitalization (Nursing Home) - Diagnosis: % with Congestive Heart Failure, 2022",52.98,2022,nh_achfy4_n
